percentage of 1's TEST
percentage of 1's 	BruteForce	BFT	MSTmethod	MSTT	MST4partitions	MST4
1	524516	12	472568	981	421081	3587	
6	149361	9	219897	1027	185235	3053	
11	88182	5	133066	891	108022	4003	
16	61862	5	91969	1093	70485	3137	
21	47480	4	69306	948	53011	3060	
26	38557	5	54427	983	40655	3110	
31	32921	6	45651	993	33201	3682	
36	28503	4	35249	960	27129	3085	
41	24949	4	33213	1038	23338	2825	
46	22259	5	29659	908	20247	2980	
51	20012	3	26204	893	17730	2869	
56	18189	5	23083	855	15515	2666	
61	16752	4	21707	845	13922	2675	
66	15650	4	20057	832	12722	2608	
71	14473	3	17355	844	11432	2616	
76	13556	4	16950	825	10451	2603	
81	12670	4	15458	853	9556	2595	
86	12007	4	14729	825	8945	2591	
91	11494	5	13288	826	8447	2615	
96	10820	5	12550	833	7797	2608	
